event_index,relation,operation,latency_micros,answer_delta_count,live_tuple_count,aggregate_group_count,used_memory_bytes,correctness_status
1,nation,INSERT,1755,0,1,0,17722016,
2,nation,INSERT,266,0,2,0,17722016,
3,nation,INSERT,88,0,3,0,17722016,
4,nation,INSERT,65,0,4,0,17722016,
5,nation,INSERT,1645,0,5,0,17722016,
6,nation,INSERT,144,0,6,0,17722016,
7,nation,INSERT,69,0,7,0,17722016,
8,nation,INSERT,69,0,8,0,17722016,
9,nation,INSERT,78,0,9,0,17722016,
10,nation,INSERT,87,0,10,0,17722016,
11,nation,INSERT,67,0,11,0,17722016,
12,nation,INSERT,80,0,12,0,17722016,
13,nation,INSERT,69,0,13,0,17722016,
14,nation,INSERT,5237,0,14,0,17722016,
15,nation,INSERT,1204,0,15,0,17722016,
16,nation,INSERT,81,0,16,0,17722016,
17,nation,INSERT,311,0,17,0,17722016,
18,nation,INSERT,133,0,18,0,17722016,
19,nation,INSERT,63,0,19,0,17722016,
20,nation,INSERT,57,0,20,0,17722016,
21,nation,INSERT,53,0,21,0,17722016,
22,nation,INSERT,2127,0,22,0,17722016,
23,nation,INSERT,193,0,23,0,17722016,
24,nation,INSERT,63,0,24,0,17722016,
25,nation,INSERT,2595,0,25,0,17722016,
26,supplier,INSERT,5292,0,26,0,17722016,
27,supplier,INSERT,982,0,27,0,17722016,
28,supplier,INSERT,634,0,28,0,17722016,
29,supplier,INSERT,616,0,29,0,17722016,
30,supplier,INSERT,671,0,30,0,17722016,
31,supplier,INSERT,133,0,31,0,17722016,
32,supplier,INSERT,207,0,32,0,17722016,
33,supplier,INSERT,58,0,33,0,17722016,
34,supplier,INSERT,170,0,34,0,17722016,
35,supplier,INSERT,58,0,35,0,17722016,
36,supplier,INSERT,459,0,36,0,18403584,
37,supplier,INSERT,391,0,37,0,18403584,
38,supplier,INSERT,639,0,38,0,18403584,
39,supplier,INSERT,334,0,39,0,18403584,
40,supplier,INSERT,554,0,40,0,18403584,
41,supplier,INSERT,342,0,41,0,18403584,
42,supplier,INSERT,56,0,42,0,18403584,
43,supplier,INSERT,82,0,43,0,18403584,
44,supplier,INSERT,51,0,44,0,18403584,
45,supplier,INSERT,61,0,45,0,18403584,
46,supplier,INSERT,201,0,46,0,18403584,
47,supplier,INSERT,198,0,47,0,18403584,
48,supplier,INSERT,1196,0,48,0,18403584,
49,supplier,INSERT,70,0,49,0,18403584,
50,supplier,INSERT,56,0,50,0,18403584,
51,supplier,INSERT,77,0,51,0,18403584,
52,supplier,INSERT,57,0,52,0,18403584,
53,supplier,INSERT,62,0,53,0,18403584,
54,supplier,INSERT,47,0,54,0,18403584,
55,supplier,INSERT,47,0,55,0,18403584,
56,supplier,INSERT,45,0,56,0,18403584,
57,supplier,INSERT,47,0,57,0,18403584,
58,supplier,INSERT,63,0,58,0,18403584,
59,supplier,INSERT,207,0,59,0,18403584,
60,supplier,INSERT,185,0,60,0,18403584,
61,supplier,INSERT,448,0,61,0,18403584,
62,supplier,INSERT,331,0,62,0,18403584,
63,supplier,INSERT,868,0,63,0,18403584,
