event_index,relation,operation,latency_micros,answer_delta_count,live_tuple_count,aggregate_group_count,used_memory_bytes,correctness_status
1,nation,INSERT,2325,0,1,0,17738304,
2,nation,INSERT,248,0,2,0,17738304,
3,nation,INSERT,102,0,3,0,17738304,
4,nation,INSERT,2340,0,4,0,17738304,
5,nation,INSERT,131,0,5,0,17738304,
6,nation,INSERT,109,0,6,0,17738304,
7,nation,INSERT,111,0,7,0,17738304,
8,nation,INSERT,2132,0,8,0,17738304,
9,nation,INSERT,1545,0,9,0,17738304,
10,nation,INSERT,177,0,10,0,17738304,
11,nation,INSERT,1531,0,11,0,17738304,
12,nation,INSERT,2087,0,12,0,17738304,
13,nation,INSERT,1487,0,13,0,17738304,
14,nation,INSERT,163,0,14,0,17738304,
15,nation,INSERT,776,0,15,0,17738304,
16,nation,INSERT,2192,0,16,0,17738304,
17,nation,INSERT,217,0,17,0,17738304,
18,nation,INSERT,111,0,18,0,17738304,
19,nation,INSERT,130,0,19,0,17738304,
20,nation,INSERT,3266,0,20,0,17738304,
21,nation,INSERT,228,0,21,0,17738304,
22,nation,INSERT,471,0,22,0,17738304,
23,nation,INSERT,204,0,23,0,17738304,
24,nation,INSERT,122,0,24,0,17738304,
25,nation,INSERT,6848,0,25,0,17738304,
26,supplier,INSERT,6284,0,26,0,18419936,
27,supplier,INSERT,382,0,27,0,18419936,
28,supplier,INSERT,122,0,28,0,18419936,
29,supplier,INSERT,109,0,29,0,18419936,
30,supplier,INSERT,144,0,30,0,18419936,
31,supplier,INSERT,116,0,31,0,18419936,
32,supplier,INSERT,112,0,32,0,18419936,
33,supplier,INSERT,118,0,33,0,18419936,
34,supplier,INSERT,11177,0,34,0,18419936,
35,supplier,INSERT,1349,0,35,0,18419936,
36,supplier,INSERT,100,0,36,0,18419936,
37,supplier,INSERT,102,0,37,0,18419936,
38,supplier,INSERT,125,0,38,0,18419936,
39,supplier,INSERT,794,0,39,0,18419936,
40,supplier,INSERT,2448,0,40,0,18419936,
41,supplier,INSERT,184,0,41,0,18419936,
42,supplier,INSERT,88,0,42,0,18419936,
43,supplier,INSERT,942,0,43,0,18419936,
44,supplier,INSERT,10139,0,44,0,18419936,
45,supplier,INSERT,936,0,45,0,18419936,
46,supplier,INSERT,115,0,46,0,18419936,
47,supplier,INSERT,79,0,47,0,18419936,
48,supplier,INSERT,78,0,48,0,18419936,
49,supplier,INSERT,227,0,49,0,18419936,
50,supplier,INSERT,143,0,50,0,18419936,
51,supplier,INSERT,254,0,51,0,18419936,
52,supplier,INSERT,326,0,52,0,18419936,
53,supplier,INSERT,87,0,53,0,18419936,
54,supplier,INSERT,608,0,54,0,18419936,
55,supplier,INSERT,1433,0,55,0,18419936,
56,supplier,INSERT,96,0,56,0,18419936,
57,supplier,INSERT,76,0,57,0,18419936,
58,supplier,INSERT,73,0,58,0,18419936,
59,supplier,INSERT,80,0,59,0,18419936,
60,supplier,INSERT,68,0,60,0,18419936,
61,supplier,INSERT,68,0,61,0,18419936,
62,supplier,INSERT,83,0,62,0,19101536,
63,supplier,INSERT,85,0,63,0,19101536,
64,supplier,INSERT,105,0,64,0,19101536,
65,supplier,INSERT,79,0,65,0,19101536,
66,supplier,INSERT,620,0,66,0,19101536,
67,supplier,INSERT,135,0,67,0,19101536,
68,supplier,INSERT,85,0,68,0,19101536,
69,supplier,INSERT,80,0,69,0,19101536,
70,supplier,INSERT,72,0,70,0,19101536,
71,supplier,INSERT,73,0,71,0,19101536,
72,supplier,INSERT,71,0,72,0,19101536,
73,supplier,INSERT,71,0,73,0,19101536,
74,supplier,INSERT,77,0,74,0,19101536,
75,supplier,INSERT,76,0,75,0,19101536,
76,supplier,INSERT,72,0,76,0,19101536,
77,supplier,INSERT,83,0,77,0,19101536,
78,supplier,INSERT,72,0,78,0,19101536,
79,supplier,INSERT,76,0,79,0,19101536,
80,supplier,INSERT,73,0,80,0,19101536,
81,supplier,INSERT,75,0,81,0,19101536,
82,supplier,INSERT,75,0,82,0,19101536,
83,supplier,INSERT,74,0,83,0,19101536,
84,supplier,INSERT,74,0,84,0,19101536,
85,supplier,INSERT,11600,0,85,0,19101536,
86,supplier,INSERT,1973,0,86,0,19101536,
87,supplier,INSERT,87,0,87,0,19101536,
88,supplier,INSERT,72,0,88,0,19101536,
89,supplier,INSERT,474,0,89,0,19101536,
90,supplier,INSERT,170,0,90,0,19101536,
91,supplier,INSERT,89,0,91,0,19101536,
92,supplier,INSERT,70,0,92,0,19101536,
93,supplier,INSERT,80,0,93,0,19101536,
94,supplier,INSERT,82,0,94,0,19783136,
95,supplier,INSERT,69,0,95,0,19783136,
96,supplier,INSERT,68,0,96,0,19783136,
97,supplier,INSERT,68,0,97,0,19783136,
98,supplier,INSERT,71,0,98,0,19783136,
99,supplier,INSERT,69,0,99,0,19783136,
100,supplier,INSERT,72,0,100,0,19783136,
101,supplier,INSERT,87,0,101,0,19783136,
102,supplier,INSERT,643,0,102,0,19783136,
103,supplier,INSERT,825,0,103,0,19783136,
104,supplier,INSERT,12424,0,104,0,19783136,
105,supplier,INSERT,743,0,105,0,19783136,
106,supplier,INSERT,75,0,106,0,19783136,
107,supplier,INSERT,66,0,107,0,19783136,
108,supplier,INSERT,59,0,108,0,19783136,
109,supplier,INSERT,55,0,109,0,19783136,
110,supplier,INSERT,56,0,110,0,19783136,
111,supplier,INSERT,55,0,111,0,19783136,
112,supplier,INSERT,54,0,112,0,19783136,
113,supplier,INSERT,66,0,113,0,19783136,
114,supplier,INSERT,2713,0,114,0,19783136,
115,supplier,INSERT,401,0,115,0,19783136,
116,supplier,INSERT,64,0,116,0,19783136,
117,supplier,INSERT,64,0,117,0,19783136,
118,supplier,INSERT,64,0,118,0,19783136,
119,supplier,INSERT,63,0,119,0,19783136,
120,supplier,INSERT,384,0,120,0,19783136,
121,supplier,INSERT,1550,0,121,0,19783136,
122,supplier,INSERT,1131,0,122,0,19783136,
123,supplier,INSERT,78,0,123,0,19783136,
124,supplier,INSERT,62,0,124,0,20464704,
125,supplier,INSERT,62,0,125,0,20464704,
126,customer,INSERT,6017,0,126,0,20464704,
127,customer,INSERT,2129,0,127,0,20464704,
128,customer,INSERT,2244,0,128,0,20464704,
129,customer,INSERT,1499,0,129,0,20464704,
130,customer,INSERT,336,0,130,0,20464704,
131,customer,INSERT,78,0,131,0,20464704,
132,customer,INSERT,68,0,132,0,20464704,
133,customer,INSERT,72,0,133,0,20464704,
134,customer,INSERT,69,0,134,0,20464704,
135,customer,INSERT,69,0,135,0,20464704,
136,customer,INSERT,71,0,136,0,20464704,
137,customer,INSERT,92,0,137,0,20464704,
138,customer,INSERT,74,0,138,0,20464704,
139,customer,INSERT,84,0,139,0,20464704,
140,customer,INSERT,75,0,140,0,20464704,
141,customer,INSERT,85,0,141,0,20464704,
142,customer,INSERT,76,0,142,0,20464704,
143,customer,INSERT,77,0,143,0,20464704,
144,customer,INSERT,76,0,144,0,20464704,
145,customer,INSERT,79,0,145,0,20464704,
146,customer,INSERT,99,0,146,0,21146328,
147,customer,INSERT,82,0,147,0,21146328,
148,customer,INSERT,87,0,148,0,21146328,
149,customer,INSERT,95,0,149,0,21146328,
150,customer,INSERT,93,0,150,0,21146328,
151,customer,INSERT,86,0,151,0,21146328,
152,customer,INSERT,86,0,152,0,21146328,
153,customer,INSERT,90,0,153,0,21146328,
154,customer,INSERT,88,0,154,0,21146328,
155,customer,INSERT,478,0,155,0,21146328,
156,customer,INSERT,4678,0,156,0,21146328,
157,customer,INSERT,4673,0,157,0,21146328,
158,customer,INSERT,333,0,158,0,21146328,
159,customer,INSERT,1159,0,159,0,21146328,
160,customer,INSERT,532,0,160,0,21146328,
161,customer,INSERT,123,0,161,0,21146328,
162,customer,INSERT,112,0,162,0,21146328,
163,customer,INSERT,97,0,163,0,21827952,
164,customer,INSERT,93,0,164,0,21827952,
165,customer,INSERT,94,0,165,0,21827952,
166,customer,INSERT,95,0,166,0,21827952,
167,customer,INSERT,106,0,167,0,21827952,
168,customer,INSERT,99,0,168,0,21827952,
169,customer,INSERT,103,0,169,0,21827952,
170,customer,INSERT,102,0,170,0,21827952,
171,customer,INSERT,99,0,171,0,21827952,
172,customer,INSERT,100,0,172,0,21827952,
173,customer,INSERT,326,0,173,0,21827952,
174,customer,INSERT,3713,0,174,0,21827952,
175,customer,INSERT,4460,0,175,0,21827952,
176,customer,INSERT,2016,0,176,0,21827952,
177,customer,INSERT,154,0,177,0,21827952,
178,customer,INSERT,112,0,178,0,21827952,
179,customer,INSERT,112,0,179,0,22509560,
180,customer,INSERT,108,0,180,0,22509560,
181,customer,INSERT,108,0,181,0,22509560,
182,customer,INSERT,112,0,182,0,22509560,
183,customer,INSERT,111,0,183,0,22509560,
184,customer,INSERT,113,0,184,0,22509560,
185,customer,INSERT,135,0,185,0,22509560,
186,customer,INSERT,125,0,186,0,22509560,
187,customer,INSERT,117,0,187,0,22509560,
188,customer,INSERT,118,0,188,0,22509560,
189,customer,INSERT,115,0,189,0,22509560,
190,customer,INSERT,116,0,190,0,22509560,
191,customer,INSERT,124,0,191,0,22509560,
192,customer,INSERT,127,0,192,0,23191160,
193,customer,INSERT,122,0,193,0,23191160,
194,customer,INSERT,854,0,194,0,23191160,
195,customer,INSERT,923,0,195,0,23191160,
196,customer,INSERT,323,0,196,0,23191160,
197,customer,INSERT,729,0,197,0,23191160,
198,customer,INSERT,132,0,198,0,23191160,
199,customer,INSERT,134,0,199,0,23191160,
200,customer,INSERT,131,0,200,0,23191160,
201,customer,INSERT,150,0,201,0,23191160,
202,customer,INSERT,139,0,202,0,23191160,
203,customer,INSERT,3226,0,203,0,23191160,
204,customer,INSERT,1447,0,204,0,23872760,
205,customer,INSERT,3560,0,205,0,23872760,
206,customer,INSERT,188,0,206,0,23872760,
207,customer,INSERT,149,0,207,0,23872760,
208,customer,INSERT,151,0,208,0,23872760,
209,customer,INSERT,147,0,209,0,23872760,
210,customer,INSERT,150,0,210,0,23872760,
211,customer,INSERT,154,0,211,0,23872760,
212,customer,INSERT,150,0,212,0,23872760,
213,customer,INSERT,149,0,213,0,23872760,
214,customer,INSERT,152,0,214,0,23872760,
215,customer,INSERT,4432,0,215,0,24554368,
216,customer,INSERT,906,0,216,0,24554368,
217,customer,INSERT,162,0,217,0,24554368,
218,customer,INSERT,156,0,218,0,24554368,
219,customer,INSERT,152,0,219,0,24554368,
220,customer,INSERT,154,0,220,0,24554368,
221,customer,INSERT,151,0,221,0,24554368,
222,customer,INSERT,886,0,222,0,24554368,
223,customer,INSERT,171,0,223,0,24554368,
224,customer,INSERT,156,0,224,0,24554368,
225,customer,INSERT,159,0,225,0,25235976,
226,customer,INSERT,172,0,226,0,25235976,
227,customer,INSERT,158,0,227,0,25235976,
228,customer,INSERT,159,0,228,0,25235976,
229,customer,INSERT,164,0,229,0,25235976,
230,customer,INSERT,161,0,230,0,25235976,
231,customer,INSERT,163,0,231,0,25235976,
232,customer,INSERT,476,0,232,0,25235976,
233,customer,INSERT,1324,0,233,0,25235976,
234,customer,INSERT,282,0,234,0,25917544,
235,customer,INSERT,166,0,235,0,25917544,
236,customer,INSERT,170,0,236,0,25917544,
237,customer,INSERT,180,0,237,0,25917544,
238,customer,INSERT,168,0,238,0,25917544,
239,customer,INSERT,171,0,239,0,25917544,
240,customer,INSERT,172,0,240,0,25917544,
241,customer,INSERT,171,0,241,0,25917544,
242,customer,INSERT,174,0,242,0,25917544,
243,customer,INSERT,175,0,243,0,26599152,
244,customer,INSERT,183,0,244,0,26599152,
245,customer,INSERT,173,0,245,0,26599152,
246,customer,INSERT,177,0,246,0,26599152,
247,customer,INSERT,178,0,247,0,26599152,
248,customer,INSERT,194,0,248,0,26599152,
249,customer,INSERT,182,0,249,0,26599152,
250,customer,INSERT,183,0,250,0,26599152,
251,customer,INSERT,247,0,251,0,27280776,
252,customer,INSERT,192,0,252,0,27280776,
253,customer,INSERT,183,0,253,0,27280776,
254,customer,INSERT,189,0,254,0,27280776,
255,customer,INSERT,253,0,255,0,27280776,
256,customer,INSERT,844,0,256,0,27280776,
257,customer,INSERT,483,0,257,0,27280776,
258,customer,INSERT,195,0,258,0,27280776,
259,customer,INSERT,902,0,259,0,27962344,
260,customer,INSERT,304,0,260,0,27962344,
261,customer,INSERT,1257,0,261,0,27962344,
262,customer,INSERT,792,0,262,0,27962344,
263,customer,INSERT,571,0,263,0,27962344,
264,customer,INSERT,455,0,264,0,27962344,
265,customer,INSERT,218,0,265,0,27962344,
266,customer,INSERT,201,0,266,0,27962344,
267,customer,INSERT,205,0,267,0,28643944,
268,customer,INSERT,200,0,268,0,28643944,
269,customer,INSERT,199,0,269,0,28643944,
270,customer,INSERT,203,0,270,0,28643944,
271,customer,INSERT,201,0,271,0,28643944,
272,customer,INSERT,203,0,272,0,28643944,
273,customer,INSERT,209,0,273,0,28643944,
274,customer,INSERT,209,0,274,0,29325568,
275,customer,INSERT,206,0,275,0,29325568,
276,customer,INSERT,218,0,276,0,29325568,
277,customer,INSERT,209,0,277,0,29325568,
278,customer,INSERT,440,0,278,0,29325568,
279,customer,INSERT,275,0,279,0,29325568,
280,customer,INSERT,208,0,280,0,29325568,
281,customer,INSERT,217,0,281,0,30007168,
282,customer,INSERT,215,0,282,0,30007168,
283,customer,INSERT,218,0,283,0,30007168,
284,customer,INSERT,217,0,284,0,30007168,
285,customer,INSERT,217,0,285,0,30007168,
286,customer,INSERT,215,0,286,0,30007168,
287,customer,INSERT,217,0,287,0,30007168,
288,customer,INSERT,217,0,288,0,30688768,
289,customer,INSERT,218,0,289,0,30688768,
290,customer,INSERT,219,0,290,0,30688768,
291,customer,INSERT,222,0,291,0,30688768,
292,customer,INSERT,221,0,292,0,30688768,
293,customer,INSERT,221,0,293,0,30688768,
294,customer,INSERT,233,0,294,0,30688768,
295,customer,INSERT,224,0,295,0,31370376,
296,customer,INSERT,224,0,296,0,31370376,
297,customer,INSERT,228,0,297,0,31370376,
298,customer,INSERT,226,0,298,0,31370376,
299,customer,INSERT,230,0,299,0,31370376,
300,customer,INSERT,228,0,300,0,31370376,
301,customer,INSERT,229,0,301,0,32052000,
302,customer,INSERT,231,0,302,0,32052000,
303,customer,INSERT,229,0,303,0,32052000,
304,customer,INSERT,231,0,304,0,32052000,
305,customer,INSERT,238,0,305,0,32052000,
306,customer,INSERT,231,0,306,0,32052000,
307,customer,INSERT,234,0,307,0,32052000,
308,customer,INSERT,237,0,308,0,32733568,
309,customer,INSERT,237,0,309,0,32733568,
310,customer,INSERT,240,0,310,0,32733568,
311,customer,INSERT,241,0,311,0,32733568,
312,customer,INSERT,240,0,312,0,32733568,
313,customer,INSERT,248,0,313,0,32733568,
314,customer,INSERT,246,0,314,0,33415136,
315,customer,INSERT,244,0,315,0,33415136,
316,customer,INSERT,246,0,316,0,33415136,
317,customer,INSERT,250,0,317,0,33415136,
318,customer,INSERT,254,0,318,0,33415136,
319,customer,INSERT,249,0,319,0,33415136,
320,customer,INSERT,256,0,320,0,34078720,
321,customer,INSERT,254,0,321,0,34078720,
322,customer,INSERT,257,0,322,0,34078720,
323,customer,INSERT,254,0,323,0,34078720,
324,customer,INSERT,256,0,324,0,34078720,
325,customer,INSERT,20901,0,325,0,8154488,
326,customer,INSERT,4036,0,326,0,8154488,
327,customer,INSERT,223,0,327,0,8154488,
328,customer,INSERT,212,0,328,0,8154488,
329,customer,INSERT,243,0,329,0,8154488,
330,customer,INSERT,298,0,330,0,8154488,
331,customer,INSERT,247,0,331,0,8829208,
332,customer,INSERT,249,0,332,0,8829208,
333,customer,INSERT,625,0,333,0,8829208,
334,customer,INSERT,356,0,334,0,8829208,
335,customer,INSERT,498,0,335,0,8829208,
336,customer,INSERT,700,0,336,0,9503968,
337,customer,INSERT,1372,0,337,0,9503968,
338,customer,INSERT,299,0,338,0,9503968,
339,customer,INSERT,209,0,339,0,9503968,
340,customer,INSERT,212,0,340,0,9503968,
341,customer,INSERT,215,0,341,0,9503968,
342,customer,INSERT,211,0,342,0,10178720,
343,customer,INSERT,219,0,343,0,10178720,
344,customer,INSERT,212,0,344,0,10178720,
345,customer,INSERT,212,0,345,0,10178720,
346,customer,INSERT,217,0,346,0,10178720,
347,customer,INSERT,275,0,347,0,10853440,
348,customer,INSERT,222,0,348,0,10853440,
349,customer,INSERT,216,0,349,0,10853440,
350,customer,INSERT,234,0,350,0,10853440,
351,customer,INSERT,226,0,351,0,10853440,
352,customer,INSERT,235,0,352,0,11528200,
353,customer,INSERT,224,0,353,0,11528200,
354,customer,INSERT,233,0,354,0,11528200,
355,customer,INSERT,221,0,355,0,11528200,
356,customer,INSERT,227,0,356,0,11528200,
357,customer,INSERT,244,0,357,0,12202976,
358,customer,INSERT,255,0,358,0,12202976,
359,customer,INSERT,233,0,359,0,12202976,
360,customer,INSERT,223,0,360,0,12202976,
361,customer,INSERT,228,0,361,0,12202976,
362,customer,INSERT,233,0,362,0,12877776,
363,customer,INSERT,232,0,363,0,12877776,
364,customer,INSERT,229,0,364,0,12877776,
365,customer,INSERT,231,0,365,0,12877776,
366,customer,INSERT,231,0,366,0,12877776,
367,customer,INSERT,241,0,367,0,13552528,
368,customer,INSERT,231,0,368,0,13552528,
369,customer,INSERT,255,0,369,0,13552528,
370,customer,INSERT,235,0,370,0,13552528,
371,customer,INSERT,235,0,371,0,13552528,
372,customer,INSERT,234,0,372,0,14227280,
373,customer,INSERT,235,0,373,0,14227280,
374,customer,INSERT,258,0,374,0,14227280,
375,customer,INSERT,246,0,375,0,14227280,
376,customer,INSERT,241,0,376,0,14902032,
377,customer,INSERT,243,0,377,0,14902032,
378,customer,INSERT,242,0,378,0,14902032,
379,customer,INSERT,266,0,379,0,14902032,
380,customer,INSERT,262,0,380,0,14902032,
381,customer,INSERT,248,0,381,0,15576752,
382,customer,INSERT,241,0,382,0,15576752,
383,customer,INSERT,244,0,383,0,15576752,
384,customer,INSERT,258,0,384,0,15576752,
385,customer,INSERT,249,0,385,0,15576752,
386,customer,INSERT,247,0,386,0,16251512,
387,customer,INSERT,808,0,387,0,16251512,
388,customer,INSERT,254,0,388,0,16251512,
389,customer,INSERT,253,0,389,0,16251512,
390,customer,INSERT,259,0,390,0,16926264,
391,customer,INSERT,252,0,391,0,16926264,
392,customer,INSERT,5102,0,392,0,16926264,
393,customer,INSERT,1999,0,393,0,16926264,
394,customer,INSERT,5190,0,394,0,16926264,
