event_index,relation,operation,latency_micros,answer_delta_count,live_tuple_count,aggregate_group_count,used_memory_bytes,correctness_status
1,nation,INSERT,1747,0,1,0,17722152,
2,nation,INSERT,450,0,2,0,17722152,
3,nation,INSERT,229,0,3,0,17722152,
4,nation,INSERT,127,0,4,0,17722152,
5,nation,INSERT,77,0,5,0,17722152,
6,nation,INSERT,74,0,6,0,17722152,
7,nation,INSERT,62,0,7,0,17722152,
8,nation,INSERT,62,0,8,0,17722152,
9,nation,INSERT,65,0,9,0,17722152,
10,nation,INSERT,3695,0,10,0,17722152,
11,nation,INSERT,83,0,11,0,17722152,
12,nation,INSERT,944,0,12,0,17722152,
13,nation,INSERT,1261,0,13,0,17722152,
14,nation,INSERT,321,0,14,0,17722152,
15,nation,INSERT,1649,0,15,0,17722152,
16,nation,INSERT,69,0,16,0,17722152,
17,nation,INSERT,55,0,17,0,17722152,
18,nation,INSERT,154,0,18,0,17722152,
19,nation,INSERT,77,0,19,0,17722152,
20,nation,INSERT,55,0,20,0,17722152,
21,nation,INSERT,53,0,21,0,17722152,
22,nation,INSERT,157,0,22,0,17722152,
23,nation,INSERT,51,0,23,0,17722152,
24,nation,INSERT,114,0,24,0,17722152,
25,nation,INSERT,959,0,25,0,17722152,
26,supplier,INSERT,3191,0,26,0,17722152,
27,supplier,INSERT,82,0,27,0,17722152,
28,supplier,INSERT,68,0,28,0,17722152,
29,supplier,INSERT,81,0,29,0,17722152,
30,supplier,INSERT,68,0,30,0,17722152,
31,supplier,INSERT,66,0,31,0,17722152,
32,supplier,INSERT,60,0,32,0,17722152,
33,supplier,INSERT,3723,0,33,0,17722152,
34,supplier,INSERT,90,0,34,0,17722152,
35,supplier,INSERT,67,0,35,0,17722152,
36,supplier,INSERT,62,0,36,0,17722152,
37,supplier,INSERT,1341,0,37,0,17722152,
38,supplier,INSERT,3343,0,38,0,17722152,
39,supplier,INSERT,149,0,39,0,17722152,
40,supplier,INSERT,57,0,40,0,17722152,
41,supplier,INSERT,52,0,41,0,17722152,
42,supplier,INSERT,49,0,42,0,17722152,
43,supplier,INSERT,72,0,43,0,18404048,
44,supplier,INSERT,49,0,44,0,18404048,
45,supplier,INSERT,47,0,45,0,18404048,
46,supplier,INSERT,51,0,46,0,18404048,
47,supplier,INSERT,124,0,47,0,18404048,
