event_index,relation,operation,latency_micros,answer_delta_count,live_tuple_count,aggregate_group_count,used_memory_bytes,correctness_status
1,nation,INSERT,2186,0,1,0,17722016,
2,nation,INSERT,408,0,2,0,17722016,
3,nation,INSERT,81,0,3,0,17722016,
4,nation,INSERT,68,0,4,0,17722016,
5,nation,INSERT,64,0,5,0,17722016,
6,nation,INSERT,80,0,6,0,17722016,
7,nation,INSERT,69,0,7,0,17722016,
8,nation,INSERT,67,0,8,0,17722016,
9,nation,INSERT,78,0,9,0,17722016,
10,nation,INSERT,82,0,10,0,17722016,
11,nation,INSERT,79,0,11,0,17722016,
12,nation,INSERT,3951,0,12,0,17722016,
13,nation,INSERT,2218,0,13,0,17722016,
14,nation,INSERT,1958,0,14,0,17722016,
15,nation,INSERT,943,0,15,0,17722016,
16,nation,INSERT,68,0,16,0,17722016,
17,nation,INSERT,359,0,17,0,17722016,
18,nation,INSERT,181,0,18,0,17722016,
19,nation,INSERT,90,0,19,0,17722016,
20,nation,INSERT,59,0,20,0,17722016,
21,nation,INSERT,52,0,21,0,17722016,
22,nation,INSERT,75,0,22,0,17722016,
23,nation,INSERT,343,0,23,0,17722016,
24,nation,INSERT,254,0,24,0,17722016,
25,nation,INSERT,226,0,25,0,17722016,
26,supplier,INSERT,3768,0,26,0,17722016,
27,supplier,INSERT,1439,0,27,0,17722016,
28,supplier,INSERT,226,0,28,0,17722016,
29,supplier,INSERT,100,0,29,0,17722016,
30,supplier,INSERT,90,0,30,0,17722016,
31,supplier,INSERT,276,0,31,0,17722016,
32,supplier,INSERT,3535,0,32,0,17722016,
33,supplier,INSERT,371,0,33,0,17722016,
34,supplier,INSERT,118,0,34,0,17722016,
35,supplier,INSERT,484,0,35,0,17722016,
36,supplier,INSERT,2490,0,36,0,17722016,
37,supplier,INSERT,196,0,37,0,18403624,
38,supplier,INSERT,3212,0,38,0,18403624,
39,supplier,INSERT,623,0,39,0,18403624,
40,supplier,INSERT,132,0,40,0,18403624,
41,supplier,INSERT,137,0,41,0,18403624,
42,supplier,INSERT,128,0,42,0,18403624,
43,supplier,INSERT,123,0,43,0,18403624,
44,supplier,INSERT,382,0,44,0,18403624,
45,supplier,INSERT,5315,0,45,0,18403624,
