group_key,count,revenue
359|1994-12-19|0,1,61590.78
1830|1995-02-23|0,1,41693.22
1830|1995-02-23|0,2,99004.6188
2114|1995-01-16|0,1,44662.617999999995
3814|1995-02-22|0,1,22574.059200000003
3814|1995-02-22|0,2,96259.0706
3814|1995-02-22|0,3,104534.2886
3814|1995-02-22|0,4,157787.2814
3814|1995-02-22|0,5,171814.3544
3749|1995-02-24|0,1,16682.2656
3749|1995-02-24|0,2,75302.64559999999
3749|1995-02-24|0,3,98980.896
3749|1995-02-24|0,4,108778.45439999999
3749|1995-02-24|0,5,116624.95739999998
3749|1995-02-24|0,6,129571.72739999999
3110|1994-12-17|0,1,44978.0364
6017|1995-01-31|0,1,53017.448
3814|1995-02-22|0,6,184939.7024
4960|1995-02-26|0,1,12317.8968
4960|1995-02-26|0,2,26252.793599999997
4960|1995-02-26|0,3,88026.1752
4960|1995-02-26|0,4,95850.81599999999
4960|1995-02-26|0,5,111141.476
4960|1995-02-26|0,6,156211.361
4423|1995-02-17|0,1,4057.9659
5191|1994-12-11|0,1,61923.064
5191|1994-12-11|0,2,73917.6466
6211|1994-11-24|0,1,47438.079
6017|1995-01-31|0,2,75106.814
6017|1995-01-31|0,3,95417.74179999999
8195|1995-01-07|0,1,27595.067999999996
8195|1995-01-07|0,2,44543.7956
7845|1994-12-14|0,1,71640.27
7845|1994-12-14|0,2,72903.219
8480|1995-01-30|0,1,4637.7252
8480|1995-01-30|0,2,42203.6892
8480|1995-01-30|0,3,112988.44440000001
8480|1995-01-30|0,4,114361.3708
8195|1995-01-07|0,3,99282.1956
8290|1994-12-10|0,1,57435.28200000001
8290|1994-12-10|0,2,62083.92600000001
8802|1995-02-01|0,1,18981.3456
8802|1995-02-01|0,2,42922.9008
8802|1995-02-01|0,3,63481.5662
8802|1995-02-01|0,4,89288.0282
8775|1995-02-04|0,1,59914.6
