group_key,count,revenue
__all__,1,68.18490000000001
__all__,2,1251.7658999999999
__all__,3,3100.6688999999997
__all__,4,4349.7759
__all__,5,4468.9048999999995
__all__,6,6299.874599999999
__all__,7,7609.989099999999
__all__,8,9611.175099999999
__all__,9,10448.7097
__all__,10,10672.864899999999
__all__,11,12126.7537
__all__,12,13788.3607
__all__,13,14732.268699999999
__all__,14,16237.385499999999
__all__,15,16851.233
__all__,16,17747.8778
__all__,17,17815.8527
__all__,18,19391.3855
__all__,19,20753.5559
__all__,20,21307.7081
__all__,21,21491.5011
__all__,22,22172.625600000003
__all__,23,22529.161500000002
__all__,24,24660.8169
__all__,25,25121.3169
__all__,26,26734.532900000002
__all__,27,28004.3629
__all__,28,28845.2629
__all__,29,29709.289
__all__,30,31437.351000000002
__all__,31,32744.806200000003
__all__,32,33003.807
__all__,33,33185.085
__all__,34,34265.633
__all__,35,34347.4812
__all__,36,34863.082800000004
__all__,37,35445.83
__all__,38,35878.6092
__all__,39,37757.7116
__all__,40,39700.0616
__all__,41,40126.820100000004
__all__,42,41614.724700000006
__all__,43,43047.656200000005
__all__,44,44620.111000000004
__all__,45,45094.738600000004
__all__,46,45397.639
__all__,47,46985.113000000005
__all__,48,49013.33500000001
__all__,49,49847.279800000004
__all__,50,50022.432400000005
__all__,51,51257.76240000001
__all__,52,53028.11280000001
__all__,53,53620.66980000001
__all__,54,53897.16580000001
__all__,55,55873.73200000001
__all__,56,56143.71550000001
__all__,57,56408.24350000001
__all__,58,57489.49150000001
__all__,59,58509.07900000001
__all__,60,59758.87660000001
__all__,61,59880.80540000001
__all__,62,59967.97920000001
__all__,63,61843.15320000001
__all__,64,62106.23520000001
__all__,65,63703.44480000001
__all__,66,64968.01720000001
__all__,67,67030.99
__all__,68,67228.7414
__all__,69,67553.5484
__all__,70,68192.6204
__all__,71,68304.0974
__all__,72,69337.2638
__all__,73,69601.7478
__all__,74,69768.0054
__all__,75,70561.6774
__all__,76,71470.11290000001
__all__,77,71947.4072
__all__,78,72535.3267
__all__,79,72783.24710000001
__all__,80,73211.1996
__all__,81,75728.8763
__all__,82,77346.27350000001
__all__,83,78071.09300000001
__all__,84,78489.86660000001
__all__,85,79778.31740000001
__all__,86,80720.35740000001
__all__,87,81513.80940000001
__all__,88,81595.31640000001
__all__,89,84054.40660000002
__all__,90,86088.12220000001
__all__,91,86715.01000000001
__all__,92,88034.1775
__all__,93,88505.0959
__all__,94,89101.5349
__all__,95,90717.3764
__all__,96,91390.0904
__all__,97,92180.9304
__all__,98,93356.10089999999
__all__,99,93444.3345
__all__,100,94593.98849999999
__all__,101,94734.5385
__all__,102,95746.6065
__all__,103,97269.71759999999
__all__,104,98682.91859999999
__all__,105,100547.43179999999
__all__,106,100957.86679999999
__all__,107,102478.21079999999
__all__,108,102778.78579999998
__all__,109,103454.38579999999
__all__,110,104348.37379999999
__all__,111,104455.10599999999
__all__,112,104919.00299999998
__all__,113,105689.26619999998
__all__,114,107235.46469999998
__all__,115,108839.58809999998
__all__,116,109397.52449999998
__all__,117,109769.92049999998
__all__,118,109995.17049999998
__all__,119,111239.80869999998
__all__,120,111301.92569999998
__all__,121,112984.70569999998
__all__,122,114985.76629999997
__all__,123,115741.06629999998
__all__,124,117721.37049999998
__all__,125,118748.93129999998
__all__,126,119772.24279999998
__all__,127,120909.89079999998
__all__,128,122144.59279999998
__all__,129,123598.94779999998
__all__,130,124526.04179999998
__all__,131,126890.42339999997
__all__,132,127789.16139999997
__all__,133,128262.86889999997
__all__,134,129927.85809999997
__all__,135,131309.18769999998
__all__,136,132275.13729999997
__all__,137,133464.40129999997
__all__,138,136048.44079999998
__all__,139,136667.71879999997
__all__,140,138567.65039999998
__all__,141,139136.4219
__all__,142,139212.8841
__all__,143,140356.1241
__all__,144,141834.0334
__all__,145,142528.0582
__all__,146,144057.5862
__all__,147,144480.1482
__all__,148,144683.403
__all__,149,145472.5704
__all__,150,145629.9414
__all__,151,147366.98940000002
__all__,152,149303.1264
__all__,153,149598.9114
__all__,154,151730.0705
__all__,155,152225.499
__all__,156,153792.47100000002
__all__,157,154847.78100000002
__all__,158,155285.05980000002
__all__,159,156048.96910000002
__all__,160,156348.32830000002
__all__,161,157029.46270000003
__all__,162,158282.01610000004
__all__,163,159059.86360000004
__all__,164,159894.54910000003
__all__,165,160236.01810000004
__all__,166,161157.20340000006
__all__,167,163803.62480000005
__all__,168,163923.75680000006
__all__,169,165306.93020000006
__all__,170,165830.68220000007
__all__,171,167169.72320000007
__all__,172,167555.13480000006
__all__,173,168798.24380000005
__all__,174,168888.84380000006
__all__,175,169229.04020000005
__all__,176,170228.34070000006
__all__,177,170326.23500000007
__all__,178,171637.12640000007
__all__,179,172409.70800000007
__all__,180,172958.68400000007
__all__,181,174421.82960000006
__all__,182,174514.22660000005
__all__,183,175608.88910000006
__all__,184,177128.79110000006
__all__,185,177744.46310000005
__all__,186,178192.67030000006
__all__,187,179924.50030000004
__all__,188,181102.52110000004
__all__,189,181876.13590000005
__all__,190,182272.21270000006
__all__,191,183419.18930000006
__all__,192,183831.83030000006
